id,nome,nome.1,dia_nasc,mes_nasc,ano_nasc,dia_morte,mes_morte,ano_morte
3002,Milton Guran,masculino,6.0,11.0,1948.0,,,
3008,Fernando Pierucetti,masculino,,,1910.0,,11.0,2004.0
3023,Darcy Ribeiro,masculino,26.0,10.0,1922.0,17.0,2.0,1997.0
3026,João Cabral de Melo Neto,masculino,9.0,1.0,1920.0,9.0,10.0,1999.0
3029,Teresa Salgado,feminino,,,,,,
3064,Sônia Castro,feminino,,,1934.0,,,
3068,Sylvia de Leon Chalreo,feminino,11.0,4.0,1905.0,24.0,6.0,1991.0
3082,Márcia Ramalho,feminino,,,,,,
3083,Carlos Augusto Calil,masculino,11.0,5.0,1951.0,,,
3110,Millôr Fernandes,masculino,16.0,8.0,1923.0,27.0,3.0,2012.0
3137,Verônica Vaz,feminino,,,1991.0,,,
3154,Wesley Duke Lee,masculino,21.0,12.0,1931.0,12.0,9.0,2010.0
3157,Theon Spanudis,masculino,30.0,5.0,1915.0,,,1986.0
3165,Robert C. Smith,não cadastrado,,,,,,
3170,Hilda Hilst,feminino,21.0,4.0,1930.0,4.0,2.0,2004.0
3171,Lindolf Bell,masculino,2.0,11.0,1938.0,10.0,12.0,1998.0
3173,Emanuel Couto Monteiro,masculino,,,,,,
3181,Máximo Barro,masculino,,,1930.0,,,
3192,Lucia Santaella,feminino,13.0,8.0,1944.0,,,
3196,Renata Pallottini,feminino,20.0,1.0,1931.0,,,
3198,Julio da Silva,não cadastrado,,,,,,
3203,Nássara,masculino,11.0,11.0,1910.0,11.0,12.0,1996.0
3208,Aparecida Esteves,não cadastrado,,,,,,
3216,Telê Ancona Lopez,feminino,,,,,,
3245,Cecília Meireles,feminino,7.0,11.0,1901.0,9.0,11.0,1964.0
3259,Paul Donker Duyvis,masculino,,,,,,
3267,Peter Scheier,masculino,,,1908.0,,,1979.0
3274,José Luiz Mota Menezes,masculino,,,,,,
3288,Cristiano Mascaro,masculino,22.0,10.0,1944.0,,,
3289,Klaus Mitteldorf,masculino,23.0,6.0,1953.0,,,
3291,Luiz Paulo Baravelli,masculino,3.0,10.0,1942.0,,,
3294,Maria de Lourdes Parreiras Horta,feminino,28.0,8.0,1944.0,,,
3301,Felisberto Ranzini,masculino,18.0,8.0,1881.0,22.0,8.0,1976.0
3317,Lily Sverner,feminino,27.0,12.0,1934.0,29.0,10.0,2016.0
3331,Márcio Almeida,masculino,21.0,2.0,1963.0,,,
3332,José de Alencar,masculino,1.0,5.0,1829.0,12.0,12.0,1877.0
3381,Humberto Werneck,masculino,,,1945.0,,,
3392,Francisco Gregório Filho,não cadastrado,,,,,,
3402,Luiz S. Hossaka,masculino,,,1928.0,7.0,11.0,2009.0
3426,Raul Bopp,masculino,4.0,8.0,1898.0,2.0,6.0,1984.0
3437,Almandrade,masculino,,,1953.0,,,
3438,Julio Plaza,masculino,1.0,2.0,1938.0,17.0,6.0,2003.0
3439,Maria Inez Turazzi,não cadastrado,,,,,,
3462,Beatriz Dagnese,feminino,,,1954.0,,,
3479,Robério Braga,masculino,,,,,,
3487,Celina Lima Verde,feminino,,,1940.0,,,
3495,Sylvio Coutinho Moraes,masculino,,,,,,
3515,Derli Barroso,masculino,2.0,8.0,1938.0,,,
3533,Camila Butcher,feminino,,,1951.0,,,
3540,Antonio Lizarraga,masculino,18.0,11.0,1924.0,15.0,11.0,2009.0
3543,José Américo Motta Pessanha,não cadastrado,,,,,,
3554,Manoel Novaes,não cadastrado,,,,,,
3556,Setúbal,masculino,,,,,,
3568,Rosa Gauditano,feminino,3.0,4.0,1955.0,,,
3571,Heleno Godoy,não cadastrado,,,,,,
3587,Jacques-Henri Lartigue,masculino,13.0,6.0,1894.0,12.0,9.0,1986.0
3594,Kiko Farkas,masculino,15.0,11.0,1957.0,,,
3597,Wakabayashi,masculino,1.0,5.0,1931.0,,,
3598,Alberto Marsicano Rodrigues,masculino,31.0,1.0,1952.0,18.0,8.0,2013.0
3599,Alexei Bueno,masculino,26.0,4.0,1963.0,,,
3608,Paulo Sampaio,masculino,10.0,4.0,1955.0,,,
3612,Sérgio Fantini,masculino,13.0,5.0,1961.0,,,
3622,Valnei Andrade,não cadastrado,,,,,,
3623,Ricardo Aleixo,masculino,14.0,9.0,1960.0,,,
3638,Lígia Borba,feminino,,,1952.0,,,
3654,Armando Prado,masculino,,,1952.0,,,
3664,Sebastião Nunes,não cadastrado,5.0,12.0,1938.0,,,
3677,Audifax Rios,não cadastrado,,,,25.0,4.0,2015.0
3680,Theoto,masculino,,,,,,
3713,Chacal,masculino,24.0,5.0,1951.0,,,
3733,Sérgio Sister,masculino,,,1948.0,,,
3739,Stefania Bril,feminino,25.0,8.0,1922.0,21.0,9.0,1992.0
3744,Rosemberg Cariry,masculino,4.0,8.0,1953.0,,,
3746,Tarcísio Garcia,não cadastrado,,,,,,
3749,Marcelo Cozzare,masculino,,,,,,
3754,Nise da Silveira,feminino,15.0,2.0,1905.0,30.0,10.0,1999.0
3767,Rico Lins,masculino,,,1955.0,,,
3781,Lucimar Bello,feminino,,,,,,
3800,Zuca Sardan,masculino,18.0,8.0,1933.0,,,
